AM903082.gene5.p01	APH(3')-IIIa	ARO:3002647
AJ871872.1.gene1.p01	OXY-5-1	ARO:3002411
AJ871873.1.gene1.p01	OXY-6-1	ARO:3002413
AJ871874.1.gene1.p01	OXY-6-1	ARO:3002413
AJ871879.1.gene1.p01	OXY-6-4	ARO:3002416
AJ871875.1.gene1.p01	OXY-6-2	ARO:3002414
AJ871876.1.gene1.p01	OXY-6-3	ARO:3002415
AJ871877.1.gene1.p01	OXY-6-4	ARO:3002416
AJ871878.1.gene1.p01	OXY-6-4	ARO:3002416
AM051140.1.gene1.p01	OKP-A-3	ARO:3002420
AM051141.1.gene1.p01	OKP-A-3	ARO:3002420
AM051142.1.gene1.p01	OKP-A-4	ARO:3002421
AM051143.1.gene1.p01	OKP-A-5	ARO:3002422
AM051144.1.gene1.p01	OKP-A-6	ARO:3002423
AM051154.1.gene1.p01	OKP-B-4	ARO:3002437
AM051145.1.gene1.p01	OKP-A-7	ARO:3002424
AM051146.1.gene1.p01	OKP-A-7	ARO:3002424
AM051147.1.gene1.p01	OKP-A-8	ARO:3002425
AM051148.1.gene1.p01	OKP-A-9	ARO:3002426
AM051149.1.gene1.p01	OKP-A-10	ARO:3002427
AM051151.1.gene1.p01	OKP-B-2	ARO:3002435
AM051152.1.gene1.p01	OKP-B-3	ARO:3002436
AM051153.1.gene1.p01	OKP-B-4	ARO:3002437
AM051155.1.gene1.p01	OKP-B-4	ARO:3002437
AM051156.1.gene1.p01	OKP-B-7	ARO:3002440
AM051157.1.gene1.p01	OKP-B-8	ARO:3002441
AM051158.1.gene1.p01	OKP-B-8	ARO:3002441
AM051159.1.gene1.p01	OKP-B-9	ARO:3002442
AM941845.1.gene1.p01	SHV-99	ARO:3001337
AM051160.1.gene1.p01	OKP-B-10	ARO:3002443
AM051161.1.gene1.p01	OKP-B-11	ARO:3002444
AM850908.2.gene1.p01	LEN-18	ARO:3002465
AM850909.2.gene1.p01	LEN-19	ARO:3002466
AM850910.2.gene1.p01	LEN-20	ARO:3002467
AM850911.2.gene1.p01	LEN-21	ARO:3002468
AM850912.2.gene1.p01	LEN-22	ARO:3002469
AM850913.2.gene1.p01	LEN-23	ARO:3002470
AM850914.2.gene1.p01	LEN-24	ARO:3002471
AM850915.2.gene1.p01	OKP-A-11	ARO:3002428
AM850916.2.gene1.p01	OKP-A-12	ARO:3002429
AM850917.2.gene1.p01	OKP-B-6	ARO:3002439
AM850918.2.gene1.p01	OKP-B-5	ARO:3002438
AM850919.2.gene1.p01	OKP-B-17	ARO:3002450
AM850920.1.gene1.p01	OKP-B-18	ARO:3002451
AM850921.2.gene1.p01	OKP-B-19	ARO:3002452
AM850922.2.gene1.p01	OKP-B-20	ARO:3002453
AM941844.1.gene1.p01	SHV-98	ARO:3001336
AM941846.1.gene1.p01	SHV-100	ARO:3001338
AY028464.1.gene1.p01	JOHN-1 beta-lactamase	ARO:3000840
AY036620.1.gene1.p01	SHV-34	ARO:3001092
AY040093.1.gene1.p01	TEM-102	ARO:3000965
AY055205.1.gene1.p1	OXY-2-8	ARO:3002403
AY077481.1.gene1.p01	OXY-4-1	ARO:3002410
AY077483.1.gene1.p01	OXY-1-4	ARO:3002392
AY077485.2.gene1.p01	OXY-2-6	ARO:3002401
AY077486.1.gene1.p01	OXY-1-2	ARO:3002390
AY077488.2.gene1.p01	OXY-2-3	ARO:3002398
AY512506.1.gene1.p1	OKP-B-5	ARO:3002438
AY524276.3.gene1.p3	SRT-2	ARO:3002494
AY633109.1.gene1.p01	LEN-5	ARO:3002456
AY743416.1.gene1.p01	LEN-16	ARO:3002464
EF672680.1.gene1.p01	CGB-1 beta-lactamase	ARO:3000841
AY825330.1.gene1.p01	OKP-B-13	ARO:3002446
AY850171.1.gene1.p1	OKP-B-6	ARO:3002439
DQ173429.1.gene1.p01	IMI-2	ARO:3001859
DQ388882.1.gene1.p01	TEM-142	ARO:3001005
EU408346.1.gene6.p01	LRA-1	ARO:3002482
EU408347.1.gene9.p01	LRA-2	ARO:3002485
EU408348.1.gene1.p01	LRA-3	ARO:3002510
EU408349.1.gene1.p01	LRA-8	ARO:3002487
EU408350.1.gene12.p01	LRA-9	ARO:3002488
EU408351.1.gene26.p01	LRA-12	ARO:3002511
EU408352.1.gene27.p01	LRA-13	ARO:3002484
EU408354.1.gene5.p01	LRA-17	ARO:3002512
EU408358.1.gene24.p01	LRA-5	ARO:3002483
EU408359.1.gene3.p01	LRA-19	ARO:3002513
FJ534512.1.gene1.p01	OKP-A-14	ARO:3002431
FJ534513.1.gene1.p01	OKP-A-13	ARO:3002430
FJ617207.1.gene1.p01	OXA-226	ARO:3001800
FJ666063.1.gene1.p1	BEL-2	ARO:3002386
FJ666068.1.gene1.p1	PDC-5	ARO:3002502
FR848831.1.gene1.p01	TEM-184	ARO:3001375
FJ666064.1.gene1.p1	PDC-2	ARO:3002498
FJ666066.1.gene1.p1	PDC-3	ARO:3002500
FJ666067.1.gene1.p1	PDC-4	ARO:3002501
FJ666069.1.gene1.p1	PDC-6	ARO:3002505
FJ666070.1.gene1.p1	PDC-7	ARO:3002506
FJ666071.1.gene1.p1	PDC-8	ARO:3002507
FJ666072.1.gene1.p1	PDC-9	ARO:3002508
JN596280.1.gene2.p01	AAC(6')-33	ARO:3002587
FJ666073.1.gene1.p1	PDC-10	ARO:3002509
FJ755840.1.gene1.p01	OKP-A-16	ARO:3002433
FJ755841.1.gene1.p01	OKP-A-15	ARO:3002432
HG423149.1.gene1.p01	CTX-M-103	ARO:3001962
FJ785625.1.gene1.p01	OXY-2-9	ARO:3002404
FJ785626.1.gene1.p01	OXY-2-10	ARO:3002405
FR682582.1.gene1.p01	CTX-M-100	ARO:3001959
FR717535.1.gene1.p01	TEM-40	ARO:3000910
GQ202694.1.gene1.p01	BEL-3	ARO:3002387
GQ288397.1.gene1.p01	SIM-1 beta-lactamase	ARO:3000846
GQ414736.1.gene1.p01	VIM-20	ARO:3002290
GU015024.1.gene1.p01	IMI-3	ARO:3001860
GU186044.1.gene1.p01	IND-8	ARO:3002264
GU186045.1.gene1.p01	IND-9	ARO:3002265
GU206353.1.gene1.p01	IND-10	ARO:3002266
HE614014.2.gene1.p01	OXA-258	ARO:3001503
HE616889.1.gene2.p01	OXA-256	ARO:3001502
HE819402.1.gene1.p01	ACT-13	ARO:3001835
HE819404.1.gene1.p01	CMY-90	ARO:3002103
HE963768.1.gene1.p01	OXA-120	ARO:3001672
HE963769.1.gene1.p01	OXA-248	ARO:3001673
HE963771.1.gene1.p01	OXA-250	ARO:3001675
HE981194.1.gene1.p01	SHV-164	ARO:3001347
HF947514.1.gene1.p01	OXA-309	ARO:3001504
HG798963.1.gene1.p01	DHA-12	ARO:3002143
HM146927.1.gene1.p01	CMY-42	ARO:3002053
HM245379.1.gene1.p01	IND-11	ARO:3002267
HM245380.1.gene1.p01	IND-12	ARO:3002268
HM367709.1.gene1.p01	IND-14	ARO:3002269
HQ317449.1.gene1.p1	TEM-182	ARO:3001373
HQ342889.1.gene1.p01	KPC-13	ARO:3002323
HQ650104.1.gene1.p01	CMY-63	ARO:3002076
HQ845196.1.gene1.p01	SHV-52	ARO:3001109
HQ713678.1.gene5.p01	PER-7	ARO:3002369
HQ713678.1.gene4.p01	antibiotic sensitive dihydropteroate synthase	ARO:3000744
HQ713678.1.gene1.p01	arr-2	ARO:3002847
HQ875573.1.gene1.p01	IMP-38	ARO:3002229
HQ877606.1.gene1.p01	TEM-197	ARO:3001056
HQ877614.1.gene1.p01	SHV-110	ARO:3001159
JF780936.1.gene1.p01	CMY-65	ARO:3002078
JF795538.1.gene1.p01	TEM-185	ARO:3001374
JF816544.1.gene1.p01	IMP-35	ARO:3002226
JN118546.1.gene3.p01	OXA-251	ARO:3001500
JN596280.1.gene5.p01	AAC(6')-Ib'	ARO:3002548
JN596280.1.gene3.p01	GES-19	ARO:3002348
JN596280.1.gene10.p01	sul1	ARO:3000410
JN596280.1.gene6.p01	OXA-2	ARO:3001397
JN596280.1.gene4.p01	GES-20	ARO:3002349
JN790862.1.gene1.p01	CTX-M-121	ARO:3001980
JN790863.1.gene1.p01	CTX-M-122	ARO:3001981
JN790864.1.gene1.p01	CTX-M-123	ARO:3001982
JN861779.1.gene1.p01	OXA-211	ARO:3001710
JN861780.1.gene1.p01	OXA-212	ARO:3001711
JN861781.1.gene1.p01	OXA-213	ARO:3001712
JN861782.1.gene1.p01	OXA-214	ARO:3001713
JN861783.1.gene1.p01	OXA-215	ARO:3001714
JN935135.1.gene1.p1	TEM-193	ARO:3001053
JN935136.1.gene1.p1	TEM-194	ARO:3001054
JN935137.1.gene1.p1	TEM-195	ARO:3001055
JN967644.1.gene1.p01	NDM-6	ARO:3002356
JN969893.2.gene1.p2	CTX-M-131	ARO:3001990
JQ002629.1.gene1.p01	IMP-32	ARO:3002223
JQ028729.1.gene1.p01	GES-18	ARO:3002347
JQ341060.1.gene1.p01	SHV-143	ARO:3001344
JQ348841.1.gene1.p01	NDM-4	ARO:3002355
JQ364968.1.gene6.p01	CARB-14	ARO:3002252
JQ396378.1.gene1.p01	OXA-184	ARO:3001476
JQ407409.1.gene2.p01	IMP-28	ARO:3002219
JQ422052.1.gene1.p01	OXA-229	ARO:3001692
JQ422053.1.gene1.p01	OXA-228	ARO:3001691
JQ733576.1.gene2.p01	CMY-79	ARO:3002092
JQ422054.1.gene1.p01	OXA-230	ARO:3001693
JQ429324.1.gene1.p01	CTX-M-124	ARO:3001983
JQ664733.1.gene1.p01	MIR-6	ARO:3002171
JQ724542.1.gene1.p1	CTX-M-125	ARO:3001984
JQ733571.1.gene2.p01	CMY-51	ARO:3002062
JQ733575.1.gene2.p01	CMY-78	ARO:3002091
JQ733577.1.gene2.p01	CMY-80	ARO:3002093
JQ734687.1.gene1.p01	NDM-3	ARO:3002354
JQ772478.1.gene1.p1	GES-21	ARO:3002350
JQ820241.1.gene1.p01	OXA-237	ARO:3001678
JQ820242.1.gene1.p01	OXA-236	ARO:3001677
JQ837239.1.gene1.p01	OXA-239	ARO:3001498
JQ838185.1.gene1.p01	OXA-207	ARO:3001485
JX013656.1.gene1.p01	VIM-34	ARO:3002304
JX017364.1.gene1.p01	CTX-M-129	ARO:3001988
JX121115.1.gene1.p01	SHV-148	ARO:3001187
JX017365.1.gene1.p01	CTX-M-130	ARO:3001989
JX025021.1.gene1.p01	OXA-241	ARO:3001679
JX025022.1.gene1.p01	OXA-242	ARO:3001680
JX042489.1.gene1.p01	TEM-19	ARO:3000890
JX049132.1.gene1.p01	CMY-69	ARO:3002082
JX089628.1.gene1.p01	OXA-240	ARO:3001499
JX121114.1.gene1.p01	SHV-147	ARO:3001186
JX121116.1.gene1.p01	SHV-149	ARO:3001188
JX121117.1.gene1.p01	SHV-150	ARO:3001189
JX121118.1.gene1.p01	SHV-151	ARO:3001190
JX121119.1.gene1.p01	SHV-152	ARO:3001191
JX121120.1.gene1.p01	SHV-153	ARO:3001192
JX121126.1.gene1.p01	SHV-159	ARO:3001198
JX121121.1.gene1.p01	SHV-154	ARO:3001193
JX121122.1.gene1.p01	SHV-155	ARO:3001194
JX121124.1.gene1.p01	SHV-157	ARO:3001196
JX121125.1.gene1.p01	SHV-158	ARO:3001197
JX121127.1.gene1.p01	SHV-160	ARO:3001199
JX121128.1.gene1.p01	SHV-161	ARO:3001200
JX121129.1.gene1.p01	SHV-162	ARO:3001201
JX121131.1.gene1.p01	SHV-165	ARO:3001203
JX514368.1.gene1.p01	CMY-94	ARO:3002107
JX131372.1.gene1.p01	IMP-37	ARO:3002228
JX131372.1.gene3.p01	OXA-46	ARO:3001797
JX206446.1.gene1.p01	OXA-243	ARO:3001610
KC107824.1.gene1.p1	CTX-M-139	ARO:3001997
JX258134.1.gene1.p01	VIM-33	ARO:3002303
JX262694.1.gene1.p01	NDM-7	ARO:3002357
JX310327.1.gene1.p01	TEM-201	ARO:3001378
JX313020.1.gene1.p1	CTX-M-132	ARO:3001991
JX438000.1.gene1.p01	OXA-244	ARO:3001786
JX440354.1.gene2.p01	ACT-14	ARO:3001836
JX514369.1.gene1.p01	CMY-95	ARO:3002108
JX679208.1.gene1.p1	VEB-8	ARO:3002377
JX870080.1.gene1.p01	SHV-168	ARO:3001352
L06157.1.gene1.p01	AAC(3)-Ib	ARO:3002530
JX893517.1.gene1.p01	OXA-247	ARO:3001791
JX896165.1.gene1.p01	CTX-M-134	ARO:3001992
JX982635.1.gene1.p01	VIM-36	ARO:3002306
JX982636.1.gene1.p01	VIM-37	ARO:3002307
KC603538.1.gene1.p01	CMY-98	ARO:3002111
KC149518.1.gene1.p01	TEM-153	ARO:3001369
KC292503.1.gene5.p01	TEM-34	ARO:3000904
KC433553.1.gene1.p1	KPC-15	ARO:3002325
KC465199.1.gene1.p01	KPC-16	ARO:3002326
KC465200.1.gene1.p01	KPC-17	ARO:3002327
KC567681.1.gene2.p1	OXA-257	ARO:3001694
KF057029.1.gene1.p01	OXA-312	ARO:3001683
KF148593.1.gene1.p01	IMP-31	ARO:3002222
KC771279.1.gene1.p01	OXA-278	ARO:3001681
KC783461.1.gene1.p01	TEM-206	ARO:3001383
KC818234.1.gene1.p01	TEM-207	ARO:3001384
KC865667.1.gene1.p01	TEM-208	ARO:3001385
KC880337.1.gene1.p01	SHV-31	ARO:3001089
KC900516.1.gene1.p1	TEM-205	ARO:3001382
KC964871.1.gene1.p1	CTX-M-141	ARO:3001999
KF057027.1.gene1.p01	OXA-121	ARO:3001443
KF057030.1.gene1.p01	OXA-313	ARO:3001684
KF057031.1.gene1.p01	OXA-314	ARO:3001685
KF057032.1.gene1.p01	OXA-315	ARO:3001686
KF057033.1.gene1.p01	OXA-316	ARO:3001687
KF057034.1.gene1.p01	OXA-317	ARO:3001688
KF203098.1.gene1.p01	OXA-324	ARO:3001512
KF151169.1.gene1.p01	OXA-320	ARO:3001793
KF179354.1.gene1.p1	GES-23	ARO:3002352
KF203096.1.gene1.p01	OXA-322	ARO:3001510
KF203097.1.gene1.p01	OXA-323	ARO:3001511
KF203099.1.gene1.p01	OXA-325	ARO:3001513
KF203100.1.gene1.p01	OXA-326	ARO:3001514
KF203101.1.gene1.p01	OXA-327	ARO:3001515
KF203102.1.gene1.p01	OXA-328	ARO:3001516
KF203103.1.gene1.p01	OXA-329	ARO:3001517
KF203104.1.gene1.p01	OXA-330	ARO:3001518
KF203105.1.gene1.p01	OXA-331	ARO:3001519
KF203106.1.gene1.p01	OXA-332	ARO:3001520
KF203107.1.gene1.p01	OXA-333	ARO:3001521
KF305673.1.gene1.p01	CMY-99	ARO:3002070
KF203108.1.gene1.p01	OXA-334	ARO:3001522
KF203109.1.gene1.p01	OXA-335	ARO:3001523
KF240808.1.gene1.p01	TEM-209	ARO:3001386
KF240809.1.gene1.p01	CTX-M-142	ARO:3002000
KF297577.1.gene1.p01	OXA-348	ARO:3001535
KF297582.1.gene1.p01	OXA-353	ARO:3001540
KF297578.1.gene1.p01	OXA-349	ARO:3001536
KF297579.1.gene1.p01	OXA-350	ARO:3001537
KF297580.1.gene1.p01	OXA-351	ARO:3001538
KF297581.1.gene1.p01	OXA-352	ARO:3001539
KF297583.1.gene1.p01	OXA-354	ARO:3001541
KF297584.1.gene1.p01	OXA-355	ARO:3001542
KF297585.1.gene1.p01	OXA-356	ARO:3001543
KF421160.1.gene1.p01	OXA-357	ARO:3001544
KF421161.1.gene1.p01	OXA-358	ARO:3001545
KF421162.1.gene1.p01	OXA-359	ARO:3001546
KF421163.1.gene1.p01	OXA-360	ARO:3001547
KF460531.1.gene1.p01	OXA-361	ARO:3001548
KF900153.1.gene1.p01	OXA-370	ARO:3001774
KF513180.1.gene1.p1	CTX-M-147	ARO:3002005
KF481967.1.gene1.p01	SME-4	ARO:3002382
KF513177.1.gene1.p1	SHV-172	ARO:3001356
KF513178.1.gene1.p1	SHV-173	ARO:3001357
KF885217.1.gene1.p01	OXA-365	ARO:3001552
KF513179.1.gene1.p1	TEM-211	ARO:3001388
KF515536.1.gene1.p01	ACT-23	ARO:3001828
KF526113.1.gene1.p01	CMY-100	ARO:3002112
KF526114.1.gene1.p01	CMY-101	ARO:3002113
KF526115.1.gene1.p01	CMY-102	ARO:3002114
KF526116.1.gene1.p01	CMY-103	ARO:3002115
KF526117.1.gene1.p01	ACT-20	ARO:3001841
KF526118.1.gene1.p01	ACT-21	ARO:3001842
KF663615.1.gene1.p1	TEM-213	ARO:3001390
KF705208.1.gene1.p1	SHV-179	ARO:3001362
KF705209.1.gene1.p1	SHV-178	ARO:3001361
KF944358.1.gene1.p01	TEM-216	ARO:3001393
KF958750.1.gene1.p01	IMI-4	ARO:3001861
KF986253.1.gene1.p01	OXA-385	ARO:3001571
KF986254.1.gene1.p01	OXA-386	ARO:3001572
KF986255.1.gene1.p01	OXA-374	ARO:3001560
KF986256.1.gene1.p01	OXA-375	ARO:3001561
KF986257.1.gene1.p01	OXA-376	ARO:3001562
KF986258.1.gene1.p01	OXA-377	ARO:3001563
KF986259.1.gene1.p01	OXA-378	ARO:3001564
KF992029.1.gene1.p01	ACT-19	ARO:3001840
KF986260.1.gene1.p01	OXA-379	ARO:3001565
KF986261.1.gene1.p01	OXA-380	ARO:3001566
KF986262.1.gene1.p01	OXA-383	ARO:3001569
KF986263.1.gene1.p01	OXA-384	ARO:3001570
KJ020573.1.gene1.p01	CTX-M-144	ARO:3002002
KJ020574.1.gene1.p01	CTX-M-148	ARO:3002006
KJ135342.1.gene1.p01	OXA-390	ARO:3001576
KJ135343.1.gene1.p01	OXA-388	ARO:3001574
KJ135344.1.gene1.p01	OXA-381	ARO:3001567
KJ135345.1.gene1.p01	OXA-382	ARO:3001568
KJ155695.1.gene1.p01	CMY-111	ARO:3002122
KJ173478.1.gene1.p01	OXA-387	ARO:3001573
KJ188748.1.gene1.p01	SME-5	ARO:3002383
KJ427797.1.gene1.p01	OXA-391	ARO:3001577
KJ461948.1.gene1.p1	CTX-M-152	ARO:3002009
M27459.1.gene1.p01	OXY-1-1	ARO:3002389
X04121.1.gene1.p1	PC1 beta-lactamase (blaZ)	ARO:3000621
AF170880.4.gene1.p01	novA	ARO:3002522
X04515.1.gene1.p1	LEN-1	ARO:3002454
X57102.1.gene1.p01	cphA7	ARO:3003103
X95401.1.gene1.p01	TEM-45	ARO:3000914
X96858.1.gene1.p01	BlaB beta-lactamase	ARO:3000579
X98101.1.gene1.p01	SHV-11	ARO:3001070
Y17715.1.gene1.p01	OXY-1-6	ARO:3002394
Z30177.1.gene1.p1	OXY-1-1	ARO:3002389
Z49084.1.gene1.p01	OXY-2-7	ARO:3002402
AF170880.4.gene24.p01	antibiotic sensitive DNA topoisomerase subunit gyrB	ARO:3000734
JQ669395.1.gene1.p01	armA	ARO:3000858
AB261016.1.gene1.p01	npmA	ARO:3002665
GQ131574.1.gene1.p01	rmtC	ARO:3000861
X15852.1.gene2.p1	AAC(3)-Ia	ARO:3002528
JX486113.1.gene1.p01	rmtG	ARO:3002668
HM036080.1.gene1.p01	AAC(1)	ARO:3000317
AJ511268.1.gene3.p01	AAC(3)-Ic	ARO:3002531
AJ511268.1.gene2.p01	VIM-2	ARO:3002272
AJ511268.1.gene4.p01	cmlA5	ARO:3002695
AY463797.7.gene39.p01	TEM-1	ARO:3000873
AY463797.7.gene16.p01	sul1	ARO:3000410
AY463797.7.gene32.p01	APH(6)-Id	ARO:3002660
AY463797.7.gene33.p01	APH(3'')-Ib	ARO:3002639
AY463797.7.gene13.p01	AAC(3)-Id	ARO:3002529
X13543.1.gene1.p1	AAC(3)-IIa	ARO:3002533
M97172.1.gene1.p01	AAC(3)-IIb	ARO:3002534
M88012.1.gene2.p01	AAC(3)-VIa	ARO:3002540
X54723.1.gene1.p01	AAC(3)-IIc	ARO:3002535
X55652.1.gene2.p01	AAC(3)-IIIa	ARO:3002536
L06160.1.gene1.p01	AAC(3)-IIIb	ARO:3002537
L06161.1.gene1.p01	AAC(3)-IIIc	ARO:3002538
AY216678.1.gene1.p01	AAC(3)-IVa	ARO:3002539
M55426.1.gene1.p01	AAC(3)-VIIIa	ARO:3002542
M55427.1.gene1.p01	AAC(3)-IXa	ARO:3002543
M23634.1.gene1.p1	AAC(6')-Ib	ARO:3002546
AB028210.1.gene2.p01	AAC(3)-Xa	ARO:3002544
L06156.1.gene1.p01	AAC(2')-Ia	ARO:3002523
AF479774.1.gene5.p01	AAC(6')-Ib	ARO:3002546
U41471.1.gene1.p01	AAC(2')-Ib	ARO:3002524
U72714.1.gene1.p01	AAC(2')-Ic	ARO:3002525
U72743.1.gene1.p01	AAC(2')-Id	ARO:3002526
M18967.1.gene1.p1	AAC(6')-Ia	ARO:3002545
M86913.1.gene3.p01	aadA	ARO:3002601
M86913.1.gene4.p01	AAC(6')-Ia	ARO:3002545
M86913.1.gene2.p01	ANT(2'')-Ia	ARO:3000230
AF479774.1.gene7.p01	OXA-9	ARO:3001404
AF479774.1.gene8.p01	TEM-1	ARO:3000873
L25617.1.gene2.p01	AAC(6')-Ib'	ARO:3002548
L25666.1.gene2.p01	AAC(6')-Ib'	ARO:3002548
DQ303918.1.gene1.p01	AAC(6')-Ib-cr	ARO:3002547
M94066.1.gene1.p01	AAC(6')-Ic	ARO:3002549
X55353.1.gene1.p01	AAC(6')-If	ARO:3002553
Z54241.1.gene2.p01	AAC(6')-Ip	ARO:3002559
L09246.1.gene1.p01	AAC(6')-Ig	ARO:3002554
L29044.1.gene1.p01	AAC(6')-Ih	ARO:3002555
L29045.1.gene1.p01	AAC(6')-Ij	ARO:3002557
L29510.1.gene1.p01	AAC(6')-Ik	ARO:3002558
AF047556.1.gene1.p01	AAC(6')-Iq	ARO:3002560
AF031326.1.gene1.p1	AAC(6')-Ir	ARO:3002561
AF031327.1.gene1.p1	AAC(6')-Is	ARO:3002562
AB116646.1.gene1.p01	AAC(6')-Isa	ARO:3002563
AF031328.1.gene1.p1	AAC(6')-It	ARO:3002564
AF031329.1.gene1.p1	AAC(6')-Iu	ARO:3002565
AF031330.1.gene1.p1	AAC(6')-Iv	ARO:3002566
AF031331.1.gene1.p1	AAC(6')-Iw	ARO:3002567
AF031332.1.gene1.p1	AAC(6')-Ix	ARO:3002568
AF144880.1.gene1.p01	AAC(6')-Iy	ARO:3002569
AF144881.1.gene1.p01	AAC(6')-Iy	ARO:3002569
AB104852.1.gene3.p01	AAC(6')-Iae	ARO:3002573
AF140221.1.gene1.p1	AAC(6')-Iz	ARO:3002570
AB119105.1.gene1.p01	AAC(6')-Iad	ARO:3002572
AB104852.1.gene2.p01	IMP-1	ARO:3002192
AB104852.1.gene6.p01	sul1	ARO:3000410
AB104852.1.gene4.p01	aadA	ARO:3002601
AB462903.1.gene5.p01	sul1	ARO:3000410
AB462903.1.gene2.p01	AAC(6')-Iaf	ARO:3002574
AB462903.1.gene3.p01	IMP-1	ARO:3002192
EU886977.1.gene2.p01	AAC(6')-Iai	ARO:3002575
X60321.1.gene1.p01	AAC(6')-Ib3	ARO:3002576
S49888.1.gene1.p1	AAC(6')-Ib4	ARO:3002577
AY136758.1.gene3.p01	AAC(6')-Ib11	ARO:3002582
AF263519.1.gene3.p01	VIM-2	ARO:3002272
AF263519.1.gene7.p01	sul1	ARO:3000410
AF263519.1.gene4.p01	AAC(6')-29b	ARO:3002584
AF263519.1.gene2.p01	AAC(6')-29a	ARO:3002583
AM283489.1.gene2.p01	IMP-1	ARO:3002192
AM283489.1.gene3.p01	AAC(6')-31	ARO:3002585
AM283489.1.gene4.p01	aadA	ARO:3002601
AM283490.1.gene5.p01	aadA	ARO:3002601
AM283490.1.gene4.p01	AAC(6')-31	ARO:3002585
EF614235.1.gene4.p01	VIM-2	ARO:3002272
EF614235.1.gene3.p01	AAC(6')-32	ARO:3002586
GQ337064.1.gene3.p01	GES-1	ARO:3002330
GQ337064.1.gene2.p01	AAC(6')-33	ARO:3002587
GQ337064.1.gene5.p01	AAC(6')-Ib'	ARO:3002548
GQ337064.1.gene6.p01	OXA-2	ARO:3001397
GQ337064.1.gene4.p01	GES-5	ARO:3002334
AJ584700.2.gene1.p01	AAC(6')-Iid	ARO:3002589
AJ584701.2.gene1.p01	AAC(6')-Iih	ARO:3002590
EU085533.1.gene1.p01	AAC(6')-Ib-Suzhou	ARO:3002591
FJ503047.1.gene1.p01	AAC(6')-Ib-Hangzhou	ARO:3002592
AB164230.1.gene1.p01	AAC(6')-Ib-SK	ARO:3002593
L06163.1.gene1.p01	AAC(6')-IIb	ARO:3002595
AF162771.1.gene2.p01	AAC(6')-IIc	ARO:3002596
GU565967.1.gene31.p01	AAC(6')-Ie-APH(2'')-Ia	ARO:3002597
AF355189.1.gene3.p01	GES-1	ARO:3002330
AF355189.1.gene2.p01	AAC(3)-Ib/AAC(6')-Ib''	ARO:3002600
DQ520937.1.gene1.p01	AAC(3)-Id	ARO:3002529
KC539823.1.gene1.p01	vgaA	ARO:3002829
DQ823382.1.gene1.p01	vgaALC	ARO:3002830
GQ205627.2.gene1.p01	vgaD	ARO:3002832
GQ205627.2.gene3.p01	vatH	ARO:3002845
FR772051.1.gene5.p01	ErmA	ARO:3000347
FR772051.1.gene9.p01	vgaE	ARO:3002833
AF368302.1.gene3.p01	vatD	ARO:3002843
AF242872.1.gene4.p01	vatE	ARO:3002844
AF242872.1.gene2.p01	ErmB	ARO:3000375
AF015628.1.gene1.p01	VgbB	ARO:3001308
AF015628.1.gene2.p01	vatC	ARO:3002842
NC_009838.1.5616795.p01	aadA	ARO:3002601
NC_009838.1.5616801.p01	sul1	ARO:3000410
NC_009838.1.5616796.p01	AAC(3)-VIa	ARO:3002540
KJ363320.1.gene1.p01	dfrA12	ARO:3002858
KJ363320.1.gene3.p01	aadA2	ARO:3002602
AY138986.1.gene1.p01	aadA4	ARO:3002604
AY758206.1.gene7.p01	sul1	ARO:3000410
AF137361.1.gene1.p01	aadA5	ARO:3002605
AM087411.1.gene1.p01	VIM-4	ARO:3002274
AM087411.1.gene3.p01	aadA6	ARO:3002606
AB114632.1.gene2.p01	aadA7	ARO:3002607
AB114632.1.gene1.p01	AAC(3)-Id	ARO:3002529
AY139603.1.gene1.p01	aadA8	ARO:3002608
AJ567827.1.gene1.p01	aadA11	ARO:3002611
AY758206.1.gene5.p01	aadA11	ARO:3002611
AY758206.1.gene3.p01	ANT(2'')-Ia	ARO:3000230
FJ381668.1.gene1.p01	aadA12	ARO:3002612
AJ884726.1.gene1.p01	aadA14	ARO:3002614
DQ393783.1.gene3.p01	OXA-10	ARO:3001405
DQ393783.1.gene2.p01	catB3	ARO:3002676
DQ393783.1.gene4.p01	aadA15	ARO:3002615
EU675686.2.gene5.p01	aadA16	ARO:3002616
EU675686.2.gene3.p01	arr-3	ARO:3002848
AY171244.1.gene1.p01	aadA21	ARO:3002618
AM261837.1.gene1.p01	aadA22	ARO:3002619
AJ809407.1.gene1.p01	aadA23	ARO:3002620
DQ677333.1.gene1.p01	aadA24	ARO:3002621
AM087405.1.gene2.p01	VIM-2	ARO:3002272
AM087405.1.gene3.p01	aadA6/aadA10	ARO:3002622
AM087405.1.gene1.p01	ANT(2'')-Ia	ARO:3000230
AY114142.1.gene1.p01	ANT(4')-IIb	ARO:3002625
AY712687.1.gene1.p01	aad(6)	ARO:3002628
KC895984.1.gene2.p01	spd	ARO:3002631
JX560992.1.gene8.p01	ANT(6)-Ia	ARO:3002626
JX560992.1.gene12.p01	lsaE	ARO:3003206
JX560992.1.gene7.p01	ErmB	ARO:3000375
JX560992.1.gene13.p01	linB	ARO:3000275
JX560992.1.gene10.p01	ANT(9)-Ia	ARO:3002630
AF337947.1.gene2.p01	AAC(6')-Ip	ARO:3002559
AF337947.1.gene1.p01	APH(2'')-IIa	ARO:3002635
AY939911.1.gene1.p01	APH(2'')-Ie	ARO:3002634
